Group,Kingdom,Phylum,Class,Order,Family,Genus,IUCNName,NCBIName,Status,CRITERIA,YEAR_PUB,Realm,IUCN_THREATS_CATEG,IUCN_N_THREATS,BODY_SIZE,OFFSPRING_SIZE,FECUNDITY,GENERATION_LENGTH,DIET_BREADTH,TROPHIC_LEVEL,DISPERSAL_ABILITY,MICROHABITAT,HABITAT_BREADTH,ALTITUDE_MIN,ALTITUDE_MAX,HFP2009,dHFP,GEOGRAPHICAL_RANGE_SIZE,HUMAN_FOOTPRINT,HABITAT_CONVERSION,Latitud,Longitud,Indice_de_pobreza,Contaminacion_aire,Altitud,Uso_del_suelo
Mammals,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Episoriculus,Episoriculus fumidus,Episoriculus fumidus,LC,,2016.0,IndoMalay,,,6.75,0.7372666667,3.0,2.381462585,2.0,3.0,0.569,2.0,2.0,1560,2438.0,10.2207749669191,-3.08747522685341,18328.1,8.2501163482666,100.0,1.3608912218786458,-53.111529800010054,38.656471741830956,88.90122619805382,1627,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,DERMOPTERA,CYNOCEPHALIDAE,Cynocephalus,Cynocephalus volans,Cynocephalus volans,LC,,2008.0,IndoMalay,2;5,3.0,1250.0,35.9,1.0,17.5,1.0,1.0,1.198,4.0,4.0,,,13.3448864084479,1.96712352226419,,13.4780192375183,99.4297419090537,8.51193276585322,-54.823386949590116,35.86224535098344,194.60305856508415,3565,Bosque
Mammals,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Crocidura,Crocidura beatus,Crocidura beatus,LC,,2016.0,IndoMalay,1;2;5,3.0,10.55,1.023,1.0,2.262745098,3.0,3.0,0.699,2.0,3.0,0,2600.0,13.2988289850889,1.35799535843869,166007.1,13.6029448509216,99.6921160964472,-8.579278836042262,-49.446929933512166,34.08153065435459,149.29230982602974,567,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus murrayi,Pipistrellus murrayi,EX,,2017.0,IndoMalay,,,3.75,0.81,1.78,8.93,1.0,3.0,,4.0,1.0,0,,,,,,,-8.257414005969185,-47.04738386848254,42.783507543729286,60.31667715257657,2556,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,HYLOBATIDAE,Nomascus,Nomascus hainanus,Nomascus hainanus,CR,A2 B1 B2 C2 D,2008.0,IndoMalay,2;5,3.0,7900.0,497.33,1.0,3.158333,3.0,2.0,3.278,4.0,2.0,650,1200.0,11.943339317344,1.32547236597815,,10.9692940711975,100.0,-9.595632051193485,-52.58191954066754,25.346028648178045,51.61666452585397,2133,Desierto
Mammals,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,Macaca sinica,Macaca sinica,EN,A2,2008.0,IndoMalay,1;2;5,5.0,4295.5,447.6520787,1.0,35.0,4.0,2.0,2.363,3.0,4.0,0,2100.0,12.5073486698364,-1.58816507593364,,11.2066764831543,99.5484365681179,6.65239691095876,-35.9945155533407,25.135161444654756,199.55695163076507,2534,Bosque
Mammals,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,Hipposideros durgadasi,Hipposideros durgadasi,VU,B2,2016.0,IndoMalay,3;6,2.0,3.84,7.872380952,0.98,12.14285714,1.0,3.0,,5.0,2.0,380,1100.0,16.3451220576199,2.84435471452168,114335.1,15.3335762023926,100.0,5.563135018997009,-46.751935971212205,32.955279519491185,83.07583673236903,3271,Urbano
Mammals,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Phoniscus,Phoniscus atrox,Phoniscus atrox,NT,,2008.0,IndoMalay,2;5;7,3.0,4.81,2.55,1.0,16.01152667,1.0,3.0,,5.0,1.0,0,400.0,12.4697600184136,2.52298328633996,,11.6995134353638,86.5558601953816,7.400242964936382,-56.935742281251606,29.62243748134838,96.88441226857664,2957,Bosque
Mammals,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Myotis,Myotis austroriparius,Myotis austroriparius,LC,,2017.0,Nearctic,3;6,2.0,7.35,1.12,1.94,6.0,1.0,3.0,,5.0,4.0,,,10.35288108586,-0.869679792815733,,7.29950618743896,78.2932809017904,9.572366844655281,-56.248870939108,22.223735537390723,81.26210213031625,2757,Bosque
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Microtus,Microtus chrotorrhinus,Microtus chrotorrhinus,LC,,2016.0,Nearctic,,,38.995,2.5395,3.57,2.722115385,2.0,1.0,0.178,2.0,3.0,,1615.0,4.06435098333091,-0.0721434109197927,3079949.1,0.269667744636536,27.2611499365456,5.983171284334471,-38.512262319197184,45.33411477256203,189.21526587067734,1430,Desierto
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Dicrostonyx,Dicrostonyx hudsonius,Dicrostonyx hudsonius,LC,,2016.0,Nearctic,,,57.0,3.977142857,3.49,0.666667,2.0,1.0,0.219,2.0,3.0,0,1000.0,0.106834570700813,0.0117796369227408,1018930.1,0.0,0.617812304391078,-0.7704127549413631,-59.3313625764066,43.148084200830496,147.8019289502921,4114,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,Neotamias speciosus,Neotamias speciosus,LC,,2016.0,Nearctic,,,59.75,3.176923077,4.3,7.950520833,2.0,1.0,0.224,2.0,2.0,1500,3000.0,4.58920361500413,0.0926135588693443,122838.1,2.33715796470642,33.7859769980734,5.610583525729108,-65.48453418979139,36.31764499408955,125.65794853341662,3221,Urbano
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Dicrostonyx,Dicrostonyx nelsoni,Dicrostonyx nelsoni,LC,,2016.0,Nearctic,,,58.44,4.35,3.4,3.3,2.0,1.0,0.222,2.0,1.0,,,0.461083362854324,0.0050884349292757,861692.1,0.0,3.64893815870825,-7.634511482621336,-72.32775653973948,49.379736117931074,133.64762217388557,1810,Desierto
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Peromyscus,Peromyscus pembertoni,Peromyscus pembertoni,EX,,2017.0,Nearctic,,,21.75,2.33,2.6,7.4,4.0,2.0,0.129,2.0,1.0,,,,,0.1,,,2.798420426550477,-35.578791843574166,22.178001996428158,97.68092709487809,611,Desierto
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Peromyscus,Peromyscus pseudocrinitus,Peromyscus pseudocrinitus,CR,B1,2019.0,Nearctic,8,1.0,21.5,2.33,2.6,7.4,4.0,2.0,0.128,2.0,3.0,,,3.33509266376495,0.0,11.23,3.35543763637543,12.5,-7.132934251819072,-33.66540969643425,43.00007903083625,142.1262503545762,4095,Urbano
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Peromyscus,Peromyscus sejugis,Peromyscus sejugis,EN,B1 B2,2018.0,Nearctic,8,1.0,20.95,1.83,4.615,8.333333,4.0,2.0,0.126,2.0,3.0,0,100.0,0.0,0.0,37.21,0.0,0.0,8.893378340991678,-69.59459180264358,27.991111748272903,112.94005451823978,3912,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Dipodomys,Dipodomys elator,Dipodomys elator,VU,B1,2018.0,Nearctic,1;2;7;8,4.0,105.82,4.305454545,2.91,7.306547619,4.0,2.0,0.308,2.0,3.0,,,8.05618909694074,0.905688218620993,15360.19,5.72368144989014,64.6317904335059,0.43696643500143395,-59.948681632674834,31.057967598307265,79.88422196362689,2748,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Myotis,Myotis sodalis,Myotis sodalis,NT,,2016.0,Nearctic,1;2;6,3.0,7.425,3.164074074,0.995,20.0,1.0,3.0,,5.0,2.0,0,1746.0,12.4904503990989,-0.357816665086389,2208310.1,9.1492223739624,83.2440985520061,-1.7067612001895291,-67.10825687181402,26.578381556092026,148.49076495648222,4195,Urbano
Mammals,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Cryptotis,Cryptotis nigrescens,Cryptotis nigrescens,LC,,2016.0,Neotropic,,,8.32,0.34,2.0,3.5,3.0,3.0,0.622,2.0,3.0,800,2900.0,9.70842572867674,0.996741839475298,25504.86,6.67200994491577,90.5457590843531,-4.70888775790746,-69.78456890283542,43.67113674385595,106.07608538888181,2953,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Otonyctomys,Otonyctomys hatti,Otonyctomys hatti,LC,,2016.0,Neotropic,,,36.2,3.6,1.875,4.113016224,4.0,1.0,0.171,2.0,1.0,,,5.75022082002013,-0.60550377436154,138762.1,4.31652283668518,59.3340691685063,5.484673788684333,-34.50599656499864,24.32720306064698,167.75995686757426,2079,Desierto
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ERETHIZONTIDAE,Coendou,Coendou prehensilis,Coendou prehensilis,LC,,2016.0,Neotropic,,,3900.0,408.0,1.0,26.6,2.0,1.0,2.241,4.0,3.0,,,4.65702344652559,1.0741456768207,,2.77363288402557,42.2787130668018,-0.876993355669029,-72.440523338459,45.20050093205834,112.30924362642907,3308,Desierto
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Hylaeamys,Hylaeamys megacephalus,Hylaeamys megacephalus,LC,,2016.0,Neotropic,,,42.0,4.341818182,3.5,3.797916667,4.0,2.0,0.206,2.0,2.0,,,3.82251769579062,0.906953884526494,6755221.1,1.73958718776703,34.4433318527894,1.3686789773729693,-30.87814514389469,39.84732944689502,126.24070625692946,1073,Bosque
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Isothrix,Isothrix negrensis,Isothrix negrensis,LC,,2016.0,Neotropic,,,444.99,27.59230769,0.97,4.126111111,3.0,2.0,0.679,2.0,1.0,0,200.0,0.899051398309255,0.576125946444614,,1.0,2.30261822610108,-9.624203991272896,-70.65971126861771,21.77069735807344,168.11997187713445,3391,Desierto
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Boromys,Boromys offella,Boromys offella,EX,,2016.0,Neotropic,,,325.86,27.59230769,2.07,4.126111111,3.0,1.0,0.566,2.0,1.0,,,,,0.1,,,2.352709941517542,-36.14382078628864,44.3294519480046,117.18171393795967,2944,Bosque
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Habromys,Habromys schmidlyi,Habromys schmidlyi,CR,B1,2018.0,Neotropic,5,1.0,12.5,4.112547619,1.9,4.113016224,4.0,2.0,0.099,2.0,1.0,1800,,11.289213413542,-1.60718928142027,98.58,9.92534065246582,100.0,2.2419144544484286,-49.50722518548768,38.83267148488938,194.93317026862468,892,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Phyllotis,Phyllotis definitus,Phyllotis definitus,EN,B2,2018.0,Neotropic,2,1.0,50.82,4.112547619,4.02,3.991667,2.0,1.0,0.206,2.0,2.0,2590,3800.0,6.90663414102121,0.352642050297323,20652.81,6.25002956390381,90.132364887466,2.3386799374951384,-58.4437130481957,47.14946958735025,168.95430007926674,1846,Bosque
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Neusticomys,Neusticomys mussoi,Neusticomys mussoi,VU,B1,2018.0,Neotropic,2;5;7,4.0,40.0,4.112547619,1.94,4.113016224,2.0,3.0,1.343,2.0,3.0,,,10.3374295079424,0.553255395304409,19038.77,8.94342803955078,98.6134911980059,8.874961570292484,-59.594593051867896,42.46166919225915,173.9645607972468,4052,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CALLITRICHIDAE,Leontocebus,Leontocebus tripartitus,Leontocebus tripartitus,NT,,2008.0,Neotropic,2;5,2.0,389.52,39.6,1.8,24.9,3.0,2.0,0.631,4.0,2.0,,,0.952082576625716,0.50125968520162,,0.123601764440536,4.74988348609601,3.636405982069668,-40.91861355430311,36.83362782289325,193.08807000555916,2854,Urbano
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pseudomys,Pseudomys bolami,Pseudomys bolami,LC,,2016.0,Australasia,,,12.79,3.381666667,2.375,0.916667,3.0,2.0,0.096,2.0,3.0,,,2.59825272785197,0.0383615402480051,1194363.1,1.7526603937149,21.9233835730425,-2.80984198852428,-60.84420172480708,45.09641541857593,108.32759432648112,3105,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Emballonura,Emballonura dianae,Emballonura dianae,LC,,2019.0,Australasia,2;3;5;6,6.0,13.21,1.125,1.5,13.54285714,2.0,2.0,,5.0,3.0,0,1400.0,6.42929533676243,3.36055487377749,,5.92824649810791,69.587577993925,-1.259360924013171,-45.420648752228615,28.341507149036666,137.01203962732563,4478,Urbano
Mammals,ANIMALIA,CHORDATA,MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Sminthopsis,Sminthopsis dolichura,Sminthopsis dolichura,LC,,2016.0,Australasia,,,14.39,0.01,7.2,3.17,3.0,3.0,0.814,2.0,5.0,,,4.31691849982115,0.182149461885908,,3.12331390380859,38.8033597007231,3.9526239185452976,-51.72032624177639,36.40850185533691,154.0387611193405,538,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pseudomys,Pseudomys hermannsburgensis,Pseudomys hermannsburgensis,LC,,2016.0,Australasia,,,12.2,2.0,2.375,0.916667,3.0,2.0,0.094,2.0,3.0,,,2.13564497486143,0.0091684854265344,4319088.1,1.00469470024109,16.2631884806612,-8.795490567414603,-53.176545967886824,28.808504594102303,151.0187725310946,1838,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Planigale,Planigale gilesi,Planigale gilesi,LC,,2016.0,Australasia,,,9.1,0.0097,5.23,5.0,3.0,3.0,0.65,2.0,2.0,,,3.80561782177812,0.258889047711793,,3.26543211936951,33.4851828968899,3.335334308913353,-34.44770232078773,49.04613173271526,192.94051918415292,2066,Bosque
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Notomys,Notomys macrotis,Notomys macrotis,EX,,2016.0,Australian,8,2.0,89.99,5.24,3.26,3.855,3.0,1.0,0.282,2.0,,,,,,0.1,,,3.412757392363188,-50.04097236208832,26.78588902526019,93.25229508175019,2776,Bosque
Mammals,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,VOMBATIDAE,Lasiorhinus,Lasiorhinus krefftii,Lasiorhinus krefftii,CR,B1 B2,2016.0,Australasia,2;7;8;11,6.0,31450.0,0.495,1.0,30.17083334,1.0,1.0,6.708,2.0,1.0,,,6.41813649553241,0.0,6.1,5.715012550354,76.7676767676768,-5.792348778523182,-37.791227862808725,20.472147190113876,93.70422929389879,344,Bosque
Mammals,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Thylogale,Thylogale lanatus,Thylogale lanatus,EN,B1,2016.0,Australasia,5,1.0,6550.0,0.42225,1.0,10.95,1.0,1.0,2.151,2.0,2.0,3000,3800.0,4.20142690252178,1.20142690252178,,4.0,63.7713437268003,-7.421474046902934,-42.349190965432975,29.775645260113887,187.700660305872,1244,Desierto
Mammals,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Pteropus,Pteropus poliocephalus,Pteropus poliocephalus,VU,A2,2008.0,Australasia,1;2;5;8;9,7.0,675.0,75.0,1.0,23.6,1.0,1.0,,4.0,7.0,,,7.87600573856399,0.584700478617637,,5.79538559913635,66.1132725996688,-3.691432981516323,-73.26492392734508,35.075281909094144,169.89584625898394,498,Bosque
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Uromys,Uromys neobritannicus,Uromys neobritannicus,NT,,2016.0,Australasia,2;5;8,4.0,612.49,20.0,2.705,3.986415094,3.0,1.0,0.809,3.0,1.0,30,500.0,7.73059822983518,4.82762147976473,,7.96666622161865,85.3700371161849,-2.725784581147548,-40.21004763725614,20.850888026902254,80.50349361043966,2601,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Sicista,Sicista betulina,Sicista betulina,LC,,2016.0,Palearctic,,,8.92,0.9708333333,5.075,4.0,3.0,2.0,0.079,2.0,5.0,0,2200.0,5.53111973893843,-0.052745376317679,11821679.1,2.90826880931854,42.6886339768449,1.4039354083575937,-65.24083874590318,36.77744900101722,135.50703171391515,1794,Desierto
Mammals,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,LC,,2016.0,Palearctic,2;6;7;8;9,5.0,25.5,2.777272727,1.0,30.0,1.0,3.0,,5.0,7.0,0,3000.0,12.5527566782774,0.824497655313814,31424082.1,10.8305225372314,91.3228777713543,-1.2279697307535926,-34.35826589167928,46.228483248536904,161.86456011444923,4394,Desierto
Mammals,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Procapra,Procapra gutturosa,Procapra gutturosa,LC,,2016.0,Palearctic,4;5;6;8;11,6.0,28274.27,2900.0,1.33,12.05833,1.0,1.0,6.661,2.0,2.0,,,3.96712381655986,0.255459369503353,,3.51283073425293,45.3825857519789,9.767476761184525,-73.06841142260257,41.141965832500105,102.95545856712637,3322,Bosque
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Microtus,Microtus brachycercus,Microtus brachycercus,LC,,2016.0,Palearctic,,,20.0,2.5395,3.4,2.722115385,2.0,1.0,0.123,2.0,7.0,,,20.5171190142382,1.3198018349802,124509.1,18.8918056488037,99.4153569142994,-7.959103785039439,-60.011758448655655,38.68904968934913,115.15733768320851,3741,Desierto
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SPALACIDAE,Myospalax,Myospalax psilurus,Myospalax psilurus,LC,,2016.0,Palearctic,2,1.0,242.105,9.778333333,3.11,5.382575758,2.0,1.0,0.486,2.0,4.0,,,9.75143314496275,0.845956930669707,3688038.1,8.25262641906738,76.9998450978503,-5.822464878103306,-70.51201737443607,48.678852521247535,136.30949174913394,1745,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,LAGOMORPHA,PROLAGIDAE,Prolagus,Prolagus sardus,Prolagus sardus,EX,,2019.0,Palearctic,8,1.0,322.55,,,,,1.0,0.573,2.0,1.0,,,,,0.1,,,-6.773809642300074,-53.59848973118203,48.74838001526318,120.06628363223159,2905,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Saiga,Saiga tatarica,Saiga tatarica,CR,A2,2018.0,Palearctic,2;4;5;7;8;11,7.0,37992.005,3345.895,1.575,12.0,1.0,1.0,7.837,2.0,2.0,0,1600.0,4.98778365977401,0.0085572829730986,,4.25703072547913,56.3916778229146,3.0621665093079677,-38.09899038586117,44.72799409109686,162.95635851035493,78,Urbano
Mammals,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Capra,Capra caucasica,Capra caucasica,EN,A2,2008.0,Palearctic,2;5;11,4.0,278465.0,2720.715,1.0,20.925,1.0,1.0,10.928,2.0,4.0,800,4000.0,9.513519956422,2.71996575052321,,9.44725322723389,93.3828950602114,-4.934167949204358,-61.581568815162115,38.23225542157553,50.89081305246046,4182,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Gazella,Gazella arabica,Gazella arabica,VU,C2,2017.0,Palearctic,2;5,2.0,24124.67,2250.0,1.5,20.8,2.0,1.0,6.105,2.0,2.0,,,8.69882349315977,2.02353076529765,,5.41251420974731,83.96897634767,-0.6737845428738751,-68.20792962100313,34.6329367849312,115.19487865865757,466,Bosque
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SPALACIDAE,Spalax,Spalax graecus,Spalax graecus,VU,,2008.0,Palearctic,2,2.0,557.5,19.0,3.0,6.204761906,1.0,1.0,0.7,2.0,4.0,39,848.0,16.7677846930777,1.11079036757061,,15.5869159698486,97.7787129159277,-5.111488159967945,-60.13798339363954,20.399483397394018,100.63720629933073,4491,Urbano
Birds,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,VIDUIDAE,Vidua,Vidua raricola,Vidua raricola,LC,,2018.0,Afrotropic,,,10.0,1101.6,3.0,3.2,1.0,1.0,21.74485523,0.416666666666667,6.0,,,8.02656410461713,0.342134414386403,3670000.1,7.25000548362732,85.9334536280554,-6.820608327089605,-38.37539361357138,38.18785718679624,141.37460792447405,280,Desierto
Birds,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Agricola,Agricola pallidus,Agricola pallidus,LC,,2016.0,Afrotropic,,,16.0,,3.0,3.2,2.0,2.0,,0.333333333333333,4.0,,,7.48316140142895,0.673842950171885,20900000.1,6.40101003646851,80.6511396922717,-7.792497176713898,-68.68272189902939,49.672642260705615,166.39376628220396,2283,Urbano
